aakkostaa
aallota
aallottaa
aaltoilla
aatella
aateloida
aavikoitua
aavistaa
aavistella
abortoida
absorboida
absorboitua
abstrahoida
abstrahoitua
abstraktistaa
abstraktistua
adaptoida
adaptoitua
addiktoida
addiktoitua
adoptoida
adsorboida
adsorboitua
aerobikata
affisioida
agitoida
ahavoittaa
ahavoitua
ahdata
ahdistaa
ahdistella
ahdistua
ahertaa
ahkeroida
ahmaista
ahmia
ahnehtia
ahtaa
ahtauttaa
ahtauttaa
ahtautua
ahtoutua
aidata
aidoittaa
aientaa
aiheellistaa
aiheellistua
aiheuttaa
aiheutua
aikaansaada
aikailla
aikaistaa
aikaistua
aikatauluttaa
aikauttaa
aikoa
aikuistaa
aikuistua
ailahdella
ailahtaa
aineellistaa
aineellistua
aineistaa
aineistua
aisata
aistia
aitoa
aivastaa
aivastella
aivastuttaa
aivopestä
ajaa
ajaantua
ajankohtaistaa
ajankohtaistua
ajanmukaistaa
ajanmukaistua
ajantasaistaa
ajastaa
ajatella
ajattaa
ajatteluttaa
ajautua
ajelehtia
ajella
ajeluttaa
ajettua
ajoittaa
ajoittua
akkautua
akklimatisoida
akklimatisoitua
akkreditoida
akkumuloitua
akoittua
akseptoida
aktiivistaa
aktiivistua
aktivoida
aktivoitua
aktuaalistaa
aktuaalistua
aktualisoida
aktualisoitua
akustoida
alentaa
alentua
aleta
aliarvioida
aliarvostaa
alijäähtyä
alimitoittaa
alipukeutua
alistaa
alistua
alisuorittaa
alisuoriutua
alittaa
alittua
aliurakoida
alivakuuttaa
alivalottaa
alivalottua
alkaa
alkoholisoitua
allastaa
allekirjoittaa
allergisoida
allergisoitua
allergistaa
allergistua
alleviivata
allokoida
aloitella
aloittaa
altistaa
altistua
alueellistaa
aluminoida
alustaa
amerikkalaistua
ammatillistaa
ammatillistua
ammattilaistaa
ammattilaistua
ammentaa
ammottaa
ammua
ammuskella
ammuttaa
ampaista
ampua
ampuilla
amputoida
analysoida
anastaa
anella
animoida
ankkuroida
ankkuroitua
annella
anniskella
annostaa
annostella
annotoida
anoa
ansaita
ansastaa
ansioitua
ansoittaa
antaa
antautua
apeutua
apinoida
aplodeerata
appaa
applikoida
aprikoida
aprillata
arastaa
arastella
aravalainoittaa
argumentoida
aristaa
aristella
aristua
arkailla
arkikielistyä
