aakkosellinen
aakkosnumeerinen
aalloittainen
aallokas
‑aaltoinen
aaltomainen
aamuinen
aamullinen
aamunraikas
aamuntorkku
aamunvirkku
aamutorkku
aamu-uninen
aamuvirkku
aasimainen
aataminaikainen
aatteellinen
‑aatteinen
aavemainen
aavistamaton
aavistuksenomainen
abnormi
absoluuttinen
abstraktinen
absurdi
adaptiivinen
addiktiivinen
adekvaatti
adjektiivinen
adverbiaalinen
adverbinen
adversatiivinen
aerobinen
aerobiologinen
aerodynaaminen
afaattinen
affektiivinen
affektinen
aforistinen
afroaasialainen
aggressiivinen
agitatorinen
agnostinen
agraarinen
ahdas
ahdashenkinen
ahdaskatseinen
ahdasmielinen
ahdasnäköinen
ahdasrajainen
ahdistunut
ahkera
ahnas
ahne
aiempi
aiheellinen
aiheenmukainen
aiheeton
‑aiheinen
aikaansaamaton
aikaansaapa
aikaansaava
aikaavievä
aikainen
aikamoinen
aikapalkkainen
aikasytytteinen
aikasytytyksinen
aikava
aikuismainen
aimo
ainainen
ainavihanta
aineellinen
aineeton
‑aineinen
ainejakoinen
‑aineksinen
ainoa
ainoalaatuinen
ainokainen
ainut
ainutkertainen
ainutlaatuinen
aistienvarainen
aistiherkkä
aistikas
aistillinen
‑aistinen
aistinvarainen
aito
aitoperäinen
aivosyntyinen
aivoton
ajallinen
ajankohtainen
ajanmukainen
ajantasainen
ajanvietteellinen
ajaton
ajattelematon
ajattelukykyinen
ajatuksekas
ajatuksellinen
ajatukseton
‑ajatuksinen
ajoittainen
ajokelpoinen
ajokuntoinen
ajokykyinen
akallinen
akateeminen
akkamainen
akkukäyttöinen
akkutoiminen
akrobaattinen
‑akselinen
aksiaalinen
aksiomaattinen
aktiivinen
aktuaalinen
aktuelli
akustinen
akuuttinen
ala-arvoinen
alakierteinen
alakkainen
alakohtainen
alakuloinen
alakuntoinen
alamittainen
alapuolinen
alaslaskettava
alaspäinen
alassuinen
alaston
alatyylinen
alava
alavireinen
aleksityyminen
alempi
alempiarvoinen
aleneva
alentava
alentuva
alentuvainen
alfanumeerinen
algebrallinen
alhaissukuinen
alhaissäätyinen
aliedustettu
alijäämäinen
alikehittynyt
alikriittinen
alimittainen
alimmainen
alin
alinen
alinomainen
aliohjautuva
alipaineinen
alipainoinen
alipalkattu
alipalkkainen
aliravittu
alisteinen
alistuva
alistuvainen
alitajuinen
alitehoinen
alituinen
alivoimainen
alkalinen
alkeellinen
alkoholipitoinen
alkoholiton
‑alkuinen
alkukantainen
alkukielinen
alkukristillinen
alkuperäinen
alkuperäisrotuinen
alkusoinnullinen
alkuvoimainen
allegorinen
allekkainen
allergeeninen
allerginen
aloitekykyinen
aloitekyvytön
aloittainen
aloittamaton
aloitteellinen
aloitteikas
‑aloitteinen
alokasmainen
alpakkainen
alpakkainen
alpiininen
altis
altruistinen
alueellinen
‑alueinen
alueittainen
aluepoliittinen
alumiininen
alustava
amatöörimäinen
ambiofoninen
ambivalentti
ambivalenttinen
ammateittainen
ammatillinen
ammattieettinen
ammattimainen
ammattitaidoton
ammattitaitoinen
ammoinen
amorfinen
anaalinen
anabolinen
anaerobinen
anafylaktinen
anakoluuttinen
anakronistinen
analgeettinen
analogianäyttöinen
analoginen
analyyttinen
anamnestinen
anarkistinen
